iter	RMSE
0	14.03535988
1	13.14551378
2	12.4715513
3	11.79854935
4	11.25811735
5	10.6379793
6	10.19311933
7	9.784035455
8	9.359137672
9	8.947859412
10	8.586752282
11	8.341158095
12	8.099980341
13	7.802789786
14	7.561916292
15	7.320734911
16	7.108422547
17	6.928200572
18	6.767826046
19	6.624615386
20	6.50262962
21	6.387611981
22	6.283511921
23	6.197010797
24	6.115551349
25	6.04588151
26	5.98588615
27	5.938434113
28	5.879942081
29	5.831291522
30	5.789519203
31	5.753603283
32	5.716121316
33	5.689133522
34	5.662986656
35	5.631852418
36	5.599810203
37	5.570990932
38	5.557359097
39	5.538008749
40	5.523440883
41	5.501241049
42	5.479945313
43	5.466679639
44	5.44763703
45	5.42947015
46	5.413595388
47	5.406184419
48	5.389979963
49	5.373536859
50	5.355810449
51	5.34753137
52	5.341324247
53	5.330927473
54	5.319747513
55	5.307319056
56	5.301286642
57	5.283057598
58	5.269127652
59	5.259115581
60	5.253249782
61	5.242978816
62	5.232266134
63	5.223855241
64	5.216676506
65	5.208732925
66	5.202128997
67	5.191649898
68	5.185233823
69	5.176163142
70	5.168318992
71	5.15860417
72	5.148171433
73	5.144637257
74	5.137262967
75	5.132014274
76	5.129267307
77	5.122571161
78	5.115818702
79	5.106198822
80	5.103645164
81	5.097675546
82	5.09420098
83	5.089319092
84	5.078027357
85	5.075386253
86	5.06940618
87	5.065670817
88	5.058374659
89	5.053077587
90	5.050227962
91	5.040790352
92	5.036547744
93	5.030657718
94	5.026691619
95	5.021838303
96	5.015856699
97	5.009907174
98	5.008419692
99	5.000098986
