iter	Passed	Remaining
0	0	67
1	1	63
2	1	62
3	2	56
4	2	52
5	3	49
6	3	48
7	4	47
8	4	45
9	4	44
10	5	42
11	5	41
12	6	40
13	6	39
14	6	38
15	7	37
16	7	36
17	8	36
18	8	35
19	8	35
20	9	35
21	9	34
22	10	33
23	10	33
24	11	33
25	11	32
26	12	32
27	12	32
28	12	31
29	13	30
30	13	30
31	13	29
32	14	29
33	14	28
34	15	28
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	23
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	19
52	22	19
53	22	19
54	23	18
55	23	18
56	24	18
57	24	17
58	25	17
59	25	17
60	26	16
61	26	16
62	27	16
63	28	15
64	29	15
65	29	15
66	30	14
67	31	14
68	31	14
69	32	13
70	32	13
71	32	12
72	33	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	40	4
91	40	3
92	41	3
93	41	2
94	41	2
95	42	1
96	42	1
97	43	0
98	43	0
99	44	0
