iter	Passed	Remaining
0	51	51738
1	52	26143
2	52	17601
3	53	13324
4	54	10770
5	54	9052
6	55	7846
7	55	6932
8	56	6218
9	57	5650
10	57	5191
11	58	4810
12	59	4479
13	59	4204
14	60	3970
15	61	3754
16	61	3573
17	62	3404
18	62	3250
19	63	3112
20	64	2993
21	64	2878
22	65	2775
23	65	2681
24	66	2593
25	67	2512
26	67	2439
27	68	2371
28	68	2305
29	69	2243
30	69	2187
31	70	2134
32	71	2083
33	71	2036
34	72	1990
35	72	1949
36	73	1910
37	74	1875
38	74	1840
39	75	1806
40	75	1773
41	76	1740
42	76	1709
43	77	1680
44	77	1651
45	78	1623
46	78	1598
47	79	1577
48	80	1555
49	80	1532
50	81	1511
51	81	1490
52	82	1470
53	82	1450
54	83	1431
55	83	1412
56	84	1394
57	84	1376
58	85	1360
59	85	1344
60	86	1328
61	86	1313
62	87	1297
63	87	1283
64	88	1269
65	88	1255
66	89	1241
67	89	1228
68	90	1217
69	90	1205
70	91	1196
71	92	1185
72	92	1175
73	93	1166
74	93	1156
75	94	1145
76	94	1136
77	95	1126
78	95	1116
79	96	1107
80	96	1098
81	97	1089
82	97	1078
83	98	1071
84	98	1063
85	99	1055
86	99	1047
87	100	1039
88	100	1032
89	101	1025
90	101	1018
91	102	1011
92	103	1005
93	103	999
94	104	994
95	104	988
96	105	981
97	105	974
98	106	967
99	106	961
100	107	956
101	108	952
102	108	947
103	109	942
104	109	936
105	110	933
106	111	927
107	111	922
108	112	916
109	112	911
110	113	905
111	113	901
112	114	896
113	114	891
114	115	886
115	115	881
116	116	875
117	116	872
118	117	868
119	117	864
120	118	860
121	118	855
122	119	852
123	120	849
124	120	845
125	121	841
126	121	837
127	122	833
128	123	831
129	123	828
130	124	825
131	125	822
132	125	819
133	126	817
134	127	814
135	127	812
136	128	809
137	129	809
138	130	806
139	130	804
140	131	800
141	131	796
142	132	793
143	132	790
144	133	787
145	133	783
146	134	780
147	135	777
148	135	776
149	136	773
150	137	770
151	137	767
152	138	764
153	138	762
154	139	759
155	139	757
156	140	754
157	141	751
158	141	749
159	142	747
160	142	744
161	143	741
162	143	739
163	144	737
164	145	734
165	145	732
166	146	730
167	147	728
168	147	726
169	148	724
170	148	721
171	149	718
172	149	716
173	150	714
174	150	711
175	151	708
176	151	706
177	152	703
178	152	701
179	153	699
180	154	697
181	154	695
182	155	693
183	155	690
184	156	688
185	156	686
186	157	684
187	157	681
188	158	679
189	158	677
190	159	676
191	160	674
192	160	672
193	161	670
194	161	668
195	162	666
196	163	664
197	163	662
198	164	660
199	164	659
200	165	657
201	165	654
202	166	653
203	167	651
204	167	649
205	168	647
206	168	645
207	169	643
208	169	641
209	170	639
210	170	638
211	171	636
212	171	634
213	172	633
214	173	632
215	173	631
216	174	629
217	174	627
218	175	626
219	176	625
220	176	623
221	177	622
222	178	621
223	178	619
224	179	618
225	180	616
226	180	615
227	181	613
228	182	613
229	182	611
230	183	610
231	183	608
232	184	606
233	184	605
234	185	603
235	186	602
236	186	600
237	187	599
238	187	597
239	188	596
240	188	595
241	189	593
242	190	592
243	190	590
244	191	589
245	191	588
246	192	586
247	192	584
248	193	583
249	194	582
250	194	581
251	195	579
252	195	578
253	196	576
254	196	575
255	197	574
256	198	573
257	198	571
258	199	570
259	199	568
260	200	567
261	201	566
262	201	565
263	202	563
264	202	561
265	203	560
266	203	558
267	204	557
268	204	556
269	205	555
270	205	553
271	206	552
272	206	551
273	207	549
274	208	548
275	208	547
276	209	546
277	209	544
278	210	543
279	210	542
280	211	540
281	211	539
282	212	537
283	212	536
284	213	535
285	213	533
286	214	532
287	214	531
288	215	529
289	215	528
290	216	527
291	217	526
292	217	525
293	218	523
294	218	522
295	219	521
296	219	520
297	220	519
298	221	518
299	221	517
300	222	516
301	222	515
302	223	514
303	224	513
304	224	511
305	225	510
306	225	509
307	226	508
308	226	507
309	227	506
310	227	504
311	228	503
312	228	502
313	229	501
314	230	500
315	230	499
316	231	498
317	231	497
318	232	496
319	233	495
320	233	494
321	234	492
322	234	491
323	235	491
324	236	490
325	236	489
326	237	488
327	238	487
328	238	486
329	239	485
330	239	484
331	240	483
332	240	482
333	241	481
334	242	480
335	242	479
336	243	478
337	243	477
338	244	476
339	245	476
340	245	475
341	246	474
342	247	473
343	247	472
344	248	471
345	249	470
346	249	470
347	250	469
348	250	468
349	251	467
350	252	466
351	252	465
352	253	464
353	254	464
354	255	463
355	255	462
356	256	461
357	256	460
358	257	459
359	258	458
360	258	457
361	259	457
362	259	456
363	260	455
364	261	454
365	261	453
366	262	452
367	262	451
368	263	450
369	263	449
370	264	448
371	265	447
372	265	446
373	266	445
374	267	445
375	267	444
376	268	443
377	269	442
378	269	441
379	270	440
380	270	439
381	271	439
382	271	438
383	272	437
384	273	436
385	273	435
386	274	434
387	274	433
388	275	432
389	275	431
390	276	430
391	277	429
392	277	428
393	278	427
394	278	426
395	279	426
396	279	425
397	280	424
398	280	423
399	281	422
400	281	421
401	282	420
402	283	419
403	283	418
404	284	417
405	284	416
406	285	415
407	285	414
408	286	413
409	286	412
410	287	411
411	288	411
412	288	410
413	289	409
414	289	408
415	290	407
416	290	406
417	291	405
418	291	404
419	292	403
420	292	402
421	293	401
422	293	400
423	294	399
424	294	399
425	295	398
426	295	397
427	296	396
428	297	395
429	297	394
430	298	394
431	298	393
432	299	392
433	300	391
434	300	390
435	300	389
436	301	388
437	301	387
438	302	386
439	302	385
440	303	384
441	304	383
442	304	383
443	305	382
444	305	381
445	306	380
446	306	379
447	307	378
448	307	377
449	308	376
450	308	375
451	309	374
452	309	374
453	310	373
454	310	372
455	311	371
456	312	370
457	312	369
458	313	369
459	313	368
460	314	367
461	314	366
462	315	365
463	315	364
464	316	364
465	317	363
466	317	362
467	318	361
468	318	360
469	319	360
470	319	359
471	320	358
472	320	357
473	321	356
474	321	355
475	322	354
476	322	353
477	323	353
478	323	352
479	324	351
480	324	350
481	325	349
482	325	348
483	326	347
484	326	347
485	327	346
486	327	345
487	328	344
488	329	343
489	329	343
490	330	342
491	330	341
492	331	340
493	331	339
494	332	338
495	332	338
496	333	337
497	333	336
498	334	335
499	334	334
500	335	334
501	336	333
502	336	332
503	337	332
504	338	331
505	338	330
506	339	329
507	339	329
508	340	328
509	340	327
510	341	326
511	341	325
512	342	325
513	342	324
514	343	323
515	343	322
516	344	321
517	344	321
518	345	320
519	346	319
520	346	318
521	347	317
522	347	317
523	348	316
524	348	315
525	349	314
526	349	314
527	350	313
528	350	312
529	351	311
530	351	310
531	352	310
532	352	309
533	353	308
534	354	307
535	354	307
536	355	306
537	355	305
538	356	304
539	356	303
540	357	303
541	357	302
542	358	301
543	358	300
544	359	299
545	359	299
546	360	298
547	361	297
548	361	297
549	362	296
550	362	295
551	363	294
552	363	293
553	364	293
554	364	292
555	365	291
556	365	290
557	366	290
558	366	289
559	367	288
560	367	287
561	368	287
562	369	286
563	369	285
564	370	285
565	370	284
566	371	283
567	371	282
568	372	282
569	373	281
570	373	280
571	374	280
572	375	279
573	375	278
574	376	278
575	376	277
576	377	276
577	377	275
578	378	275
579	378	274
580	379	273
581	380	272
582	380	272
583	381	271
584	381	270
585	382	269
586	382	269
587	383	268
588	383	267
589	384	266
590	384	266
591	385	265
592	385	264
593	386	263
594	386	263
595	387	262
596	387	261
597	388	261
598	388	260
599	389	259
600	389	258
601	390	258
602	390	257
603	391	256
604	391	255
605	392	255
606	392	254
607	393	253
608	393	252
609	394	252
610	394	251
611	395	250
612	395	249
613	396	249
614	397	248
615	397	247
616	398	247
617	398	246
618	399	245
619	399	245
620	400	244
621	400	243
622	401	242
623	401	242
624	402	241
625	402	240
626	403	240
627	404	239
628	404	238
629	405	238
630	405	237
631	406	236
632	406	235
633	407	235
634	408	234
635	408	233
636	409	233
637	409	232
638	410	231
639	410	231
640	411	230
641	411	229
642	412	228
643	412	228
644	413	227
645	413	226
646	414	226
647	414	225
648	415	224
649	415	223
650	416	223
651	417	222
652	417	222
653	418	221
654	418	220
655	419	219
656	419	219
657	420	218
658	420	217
659	421	216
660	421	216
661	422	215
662	422	214
663	423	214
664	423	213
665	424	212
666	424	212
667	425	211
668	426	210
669	426	210
670	427	209
671	427	208
672	428	207
673	428	207
674	429	206
675	429	205
676	430	205
677	430	204
678	431	204
679	432	203
680	432	202
681	433	202
682	433	201
683	434	200
684	435	200
685	435	199
686	436	198
687	436	198
688	437	197
689	437	196
690	438	196
691	438	195
692	439	194
693	439	193
694	440	193
695	440	192
696	441	191
697	442	191
698	442	190
699	443	190
700	443	189
701	444	188
702	444	187
703	445	187
704	445	186
705	446	185
706	446	185
707	447	184
708	447	183
709	448	183
710	448	182
711	449	181
712	449	181
713	450	180
714	450	179
715	451	179
716	451	178
717	452	177
718	452	177
719	453	176
720	454	175
721	454	175
722	455	174
723	455	173
724	456	173
725	456	172
726	457	171
727	457	171
728	458	170
729	458	169
730	459	169
731	459	168
732	460	167
733	461	167
734	461	166
735	462	165
736	462	165
737	463	164
738	463	163
739	464	163
740	464	162
741	465	161
742	465	161
743	466	160
744	466	159
745	467	159
746	468	158
747	468	157
748	469	157
749	469	156
750	470	155
751	471	155
752	471	154
753	472	154
754	472	153
755	473	152
756	473	152
757	474	151
758	474	150
759	475	150
760	476	149
761	476	148
762	477	148
763	477	147
764	478	146
765	478	146
766	479	145
767	480	145
768	480	144
769	481	143
770	481	143
771	482	142
772	482	141
773	483	141
774	483	140
775	484	139
776	484	139
777	485	138
778	485	137
779	486	137
780	487	136
781	487	135
782	488	135
783	488	134
784	489	134
785	489	133
786	490	132
787	490	132
788	491	131
789	491	130
790	492	130
791	493	129
792	493	128
793	494	128
794	495	127
795	495	127
796	496	126
797	496	125
798	497	125
799	498	124
800	498	123
801	499	123
802	499	122
803	500	122
804	501	121
805	501	120
806	502	120
807	502	119
808	503	118
809	503	118
810	504	117
811	505	116
812	505	116
813	506	115
814	507	115
815	507	114
816	508	113
817	509	113
818	509	112
819	510	111
820	510	111
821	511	110
822	512	110
823	512	109
824	513	108
825	513	108
826	514	107
827	514	106
828	515	106
829	516	105
830	516	105
831	517	104
832	518	103
833	518	103
834	519	102
835	520	102
836	520	101
837	521	100
838	521	100
839	522	99
840	523	98
841	523	98
842	524	97
843	525	97
844	525	96
845	526	95
846	527	95
847	527	94
848	528	93
849	529	93
850	529	92
851	530	92
852	531	91
853	531	90
854	532	90
855	533	89
856	533	89
857	534	88
858	534	87
859	535	87
860	536	86
861	536	85
862	537	85
863	537	84
864	538	84
865	539	83
866	539	82
867	540	82
